ValueDate,TheValue
2016-08-01,0.4813
2016-07-29,0.4702
2016-07-28,0.4685
2016-07-27,0.4668
2016-07-26,0.4642
2016-07-25,0.4667
2016-07-22,0.4690
2016-07-21,0.4678
2016-07-20,0.4672
2016-07-19,0.4677
2016-07-18,0.4674
2016-07-15,0.4667
2016-07-14,0.4660
2016-07-13,0.4647
2016-07-12,0.4668
2016-07-11,0.4580
2016-07-08,0.4542
2016-07-07,0.4575
2016-07-06,0.4497
2016-07-05,0.4519
2016-07-04,0.4587
2016-07-01,0.4535
2016-06-30,0.4501
2016-06-29,0.4422
2016-06-28,0.4378
2016-06-27,0.4394
2016-06-24,0.4432
2016-06-23,0.4536
2016-06-22,0.4472
2016-06-21,0.4477
2016-06-20,0.4406
2016-06-17,0.4337
2016-06-15,0.4310
2016-06-14,0.4291
2016-06-13,0.4351
2016-06-10,0.4403
2016-06-09,0.4420
2016-06-08,0.4401
2016-06-07,0.4424
2016-06-06,0.4355
2016-06-03,0.4223
2016-06-02,0.4217
2016-06-01,0.4204
2016-05-31,0.4161
2016-05-30,0.4169
2016-05-27,0.4221
2016-05-26,0.4208
2016-05-25,0.4194
2016-05-24,0.4148
2016-05-23,0.4209
2016-05-20,0.4153
2016-05-19,0.4131
2016-05-18,0.4128
2016-05-17,0.4189
2016-05-16,0.4222
2016-05-13,0.4314
2016-05-12,0.4357
2016-05-11,0.4267
2016-05-10,0.4276
2016-05-09,0.4351
2016-05-06,0.4331
2016-05-05,0.4366
2016-05-04,0.4394
2016-05-03,0.4534
2016-04-29,0.4562
2016-04-28,0.4491
2016-04-26,0.4481
2016-04-25,0.4486
2016-04-22,0.4534
2016-04-21,0.4541
2016-04-20,0.4541
2016-04-19,0.4494
2016-04-18,0.4417
2016-04-15,0.4472
2016-04-14,0.4432
2016-04-13,0.4382
2016-04-12,0.4397
2016-04-11,0.4365
2016-04-08,0.4293
2016-04-07,0.4281
2016-04-06,0.4270
2016-04-05,0.4340
2016-04-04,0.4387
2016-04-01,0.4383
2016-03-31,0.4346
2016-03-30,0.4296
2016-03-29,0.4204
2016-03-24,0.4229
2016-03-23,0.4258
2016-03-22,0.4253
2016-03-18,0.4230
2016-03-17,0.4159
2016-03-16,0.4066
2016-03-15,0.4163
2016-03-14,0.4240
2016-03-11,0.4266
2016-03-10,0.4294
2016-03-09,0.4218
2016-03-08,0.4223
2016-03-07,0.4248
2016-03-04,0.4166
2016-03-03,0.4185
2016-03-02,0.4181
2016-03-01,0.4175
2016-02-29,0.4056
2016-02-26,0.4206
2016-02-25,0.4178
2016-02-24,0.4289
2016-02-23,0.4280
2016-02-22,0.4243
2016-02-19,0.4226
2016-02-18,0.4208
2016-02-17,0.4123
2016-02-16,0.4134
2016-02-15,0.4109
2016-02-12,0.4164
2016-02-11,0.4115
2016-02-10,0.4132
2016-02-09,0.4066
2016-02-08,0.4127
2016-02-05,0.4128
2016-02-04,0.4118
2016-02-03,0.4063
2016-02-02,0.4119
2016-02-01,0.4123
2016-01-29,0.4086
2016-01-28,0.4028
2016-01-27,0.4004
2016-01-26,0.3964
2016-01-25,0.3984
2016-01-22,0.3984
2016-01-21,0.3918
2016-01-20,0.3895
2016-01-19,0.3958
2016-01-18,0.3941
2016-01-15,0.3971
2016-01-14,0.3964
2016-01-13,0.3985
2016-01-12,0.3895
2016-01-11,0.3965
2016-01-08,0.4110
2016-01-07,0.4109
2016-01-06,0.4157
2016-01-05,0.4177
2016-01-04,0.4167
2015-12-31,0.4170
2015-12-30,0.4223
2015-12-29,0.4245
2015-12-28,0.4245
2015-12-24,0.4265
2015-12-23,0.4267
2015-12-22,0.4293
2015-12-21,0.4310
2015-12-18,0.4265
2015-12-17,0.4338
2015-12-15,0.4298
2015-12-14,0.4283
2015-12-11,0.4188
2015-12-10,0.4299
2015-12-09,0.4411
2015-12-08,0.4415
2015-12-07,0.4449
2015-12-04,0.4454
2015-12-03,0.4464
2015-12-02,0.4452
2015-12-01,0.4440
2015-11-30,0.4448
2015-11-27,0.4456
2015-11-26,0.4502
2015-11-25,0.4543
2015-11-24,0.4526
2015-11-23,0.4549
2015-11-20,0.4566
2015-11-19,0.4520
2015-11-18,0.4481
2015-11-17,0.4441
2015-11-16,0.4428
2015-11-13,0.4454
2015-11-12,0.4494
2015-11-11,0.4486
2015-11-10,0.4461
2015-11-09,0.4483
2015-11-06,0.4572
2015-11-05,0.4554
2015-11-04,0.4583
2015-11-03,0.4597
2015-11-02,0.4589
2015-10-30,0.4573
2015-10-29,0.4607
2015-10-28,0.4641
2015-10-27,0.4633
2015-10-26,0.4643
2015-10-23,0.4743
2015-10-22,0.4690
2015-10-21,0.4738
2015-10-20,0.4799
2015-10-19,0.4877
2015-10-16,0.4829
2015-10-15,0.4821
2015-10-14,0.4725
2015-10-13,0.4714
2015-10-12,0.4757
2015-10-09,0.4748
2015-10-08,0.4711
2015-10-07,0.4735
2015-10-06,0.4651
2015-10-05,0.4659
2015-10-02,0.4571
2015-10-01,0.4617
2015-09-30,0.4601
2015-09-29,0.4541
2015-09-28,0.4592
2015-09-25,0.4638
2015-09-23,0.4662
2015-09-22,0.4712
2015-09-21,0.4768
2015-09-18,0.4824
2015-09-17,0.4772
2015-09-16,0.4730
2015-09-15,0.4748
2015-09-14,0.4692
2015-09-11,0.4671
2015-09-10,0.4606
2015-09-09,0.4679
2015-09-08,0.4585
2015-09-07,0.4582
2015-09-04,0.4660
2015-09-03,0.4711
2015-09-02,0.4716
2015-09-01,0.4786
2015-08-31,0.4779
2015-08-28,0.4844
2015-08-27,0.4917
2015-08-26,0.4878
2015-08-25,0.4900
2015-08-24,0.4847
2015-08-21,0.4952
2015-08-20,0.4924
2015-08-19,0.4968
2015-08-18,0.4950
2015-08-17,0.4966
2015-08-14,0.4975
2015-08-13,0.5004
2015-08-12,0.4983
2015-08-11,0.4980
2015-08-07,0.4882
2015-08-06,0.4867
2015-08-05,0.4871
2015-08-04,0.4913
2015-08-03,0.4877
2015-07-31,0.4874
2015-07-30,0.4920
2015-07-29,0.4937
2015-07-28,0.4922
2015-07-27,0.4931
2015-07-24,0.4967
2015-07-23,0.5002
2015-07-22,0.5025
2015-07-21,0.5005
2015-07-20,0.4994
2015-07-17,0.5032
2015-07-16,0.5003
2015-07-15,0.5018
2015-07-14,0.4991
2015-07-13,0.4984
2015-07-10,0.5005
2015-07-09,0.4973
2015-07-08,0.4951
2015-07-07,0.4970
2015-07-06,0.5005
2015-07-03,0.5047
2015-07-02,0.5039
2015-07-01,0.5089
2015-06-30,0.5067
2015-06-29,0.5065
2015-06-26,0.5123
2015-06-25,0.5126
2015-06-24,0.5109
2015-06-23,0.5106
2015-06-22,0.5103
2015-06-19,0.5060
2015-06-18,0.5100
2015-06-17,0.4991
2015-06-15,0.5005
2015-06-12,0.4996
2015-06-11,0.5000
2015-06-10,0.5019
2015-06-09,0.4958
2015-06-08,0.4936
2015-06-05,0.4990
2015-06-04,0.5012
2015-06-03,0.5072
2015-06-02,0.5046
2015-06-01,0.5056
2015-05-29,0.5100
2015-05-28,0.5147
2015-05-27,0.5156
2015-05-26,0.5172
2015-05-25,0.5182
2015-05-22,0.5248
2015-05-21,0.5254
2015-05-20,0.5192
2015-05-19,0.5232
2015-05-18,0.5241
2015-05-15,0.5263
2015-05-14,0.5209
2015-05-13,0.5184
2015-05-12,0.5128
2015-05-11,0.5187
2015-05-08,0.5167
2015-05-07,0.5135
2015-05-06,0.5166
2015-05-05,0.5143
2015-05-04,0.5162
2015-04-30,0.5262
2015-04-29,0.5236
2015-04-28,0.5169
2015-04-24,0.5109
2015-04-23,0.5049
2015-04-22,0.5108
2015-04-21,0.5102
2015-04-20,0.5166
2015-04-17,0.5187
2015-04-16,0.5142
2015-04-15,0.5131
2015-04-14,0.5121
2015-04-13,0.5126
2015-04-10,0.5182
2015-04-09,0.5234
2015-04-08,0.5245
2015-04-07,0.5236
2015-04-02,0.5181
2015-04-01,0.5122
2015-03-31,0.5081
2015-03-30,0.5137
2015-03-27,0.5168
2015-03-26,0.5244
2015-03-25,0.5276
2015-03-24,0.5206
2015-03-23,0.5122
2015-03-20,0.5060
2015-03-19,0.5070
2015-03-18,0.5036
2015-03-17,0.5044
2015-03-16,0.5043
2015-03-13,0.5075
2015-03-12,0.5147
2015-03-11,0.5106
2015-03-10,0.5130
2015-03-09,0.5202
2015-03-06,0.5308
2015-03-05,0.5311
2015-03-04,0.5320
2015-03-03,0.5339
2015-03-02,0.5355
2015-02-27,0.5450
2015-02-26,0.5494
2015-02-25,0.5474
2015-02-24,0.5366
2015-02-23,0.5346
2015-02-20,0.5373
2015-02-19,0.5407
2015-02-18,0.5342
2015-02-17,0.5366
2015-02-16,0.5373
2015-02-13,0.5317
2015-02-12,0.5298
2015-02-11,0.5309
2015-02-10,0.5402
2015-02-09,0.5416
2015-02-06,0.5528
2015-02-05,0.5468
2015-02-04,0.5472
2015-02-03,0.5427
2015-02-02,0.5393
2015-01-30,0.5412
2015-01-29,0.5380
2015-01-28,0.5409
2015-01-27,0.5443
2015-01-26,0.5468
2015-01-23,0.5465
2015-01-22,0.5380
2015-01-21,0.5369
2015-01-20,0.5339
2015-01-19,0.5378
2015-01-16,0.5390
2015-01-15,0.5405
2015-01-14,0.5344
2015-01-13,0.5394
2015-01-12,0.5394
2015-01-09,0.5358
2015-01-08,0.5338
2015-01-07,0.5299
2015-01-06,0.5298
2015-01-05,0.5312
2015-01-02,0.5340
2014-12-31,0.5362
2014-12-30,0.5337
2014-12-29,0.5363
2014-12-24,0.5336
2014-12-23,0.5383
2014-12-22,0.5369
2014-12-19,0.5358
2014-12-18,0.5376
2014-12-17,0.5278
2014-12-15,0.5353
2014-12-12,0.5335
2014-12-11,0.5380
2014-12-10,0.5377
2014-12-09,0.5378
2014-12-08,0.5403
